"epoch","ConvNext_Tiny_Tuned - _step","ConvNext_Tiny_Tuned - _step__MIN","ConvNext_Tiny_Tuned - _step__MAX","ConvNext_Tiny_Tuned - train_loss_epoch","ConvNext_Tiny_Tuned - train_loss_epoch__MIN","ConvNext_Tiny_Tuned - train_loss_epoch__MAX","ConvNext_Tiny_Tuned - val_loss_epoch","ConvNext_Tiny_Tuned - val_loss_epoch__MIN","ConvNext_Tiny_Tuned - val_loss_epoch__MAX"
"0","151.5","151","152","234.6151123046875","234.6151123046875","234.6151123046875","0.39985397458076477","0.39985397458076477","0.39985397458076477"
"1","304.5","304","305","0.911381721496582","0.911381721496582","0.911381721496582","0.500810444355011","0.500810444355011","0.500810444355011"
"2","457.5","457","458","0.6716634631156921","0.6716634631156921","0.6716634631156921","0.47438669204711914","0.47438669204711914","0.47438669204711914"
"3","610.5","610","611","0.748222827911377","0.748222827911377","0.748222827911377","3.0489413738250732","3.0489413738250732","3.0489413738250732"
"4","763.5","763","764","1.0470457077026367","1.0470457077026367","1.0470457077026367","0.5711448788642883","0.5711448788642883","0.5711448788642883"
"5","916.5","916","917","0.9852653741836548","0.9852653741836548","0.9852653741836548","0.40887850522994995","0.40887850522994995","0.40887850522994995"
"6","1069.5","1069","1070","0.8273554444313049","0.8273554444313049","0.8273554444313049","0.5711448788642883","0.5711448788642883","0.5711448788642883"
"7","1222.5","1222","1223","0.8684945702552795","0.8684945702552795","0.8684945702552795","0.6991530656814575","0.6991530656814575","0.6991530656814575"
"8","1375.5","1375","1376","0.6581878662109375","0.6581878662109375","0.6581878662109375","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"9","1528.5","1528","1529","0.8507537245750427","0.8507537245750427","0.8507537245750427","1.8079439401626587","1.8079439401626587","1.8079439401626587"
"10","1681.5","1681","1682","0.7532178163528442","0.7532178163528442","0.7532178163528442","0.6312426924705505","0.6312426924705505","0.6312426924705505"
"11","1834.5","1834","1835","0.5313102006912231","0.5313102006912231","0.5313102006912231","0.6071772575378418","0.6071772575378418","0.6071772575378418"
"12","1987.5","1987","1988","0.5858846306800842","0.5858846306800842","0.5858846306800842","0.9497590661048889","0.9497590661048889","0.9497590661048889"
"13","2140.5","2140","2141","0.5293442606925964","0.5293442606925964","0.5293442606925964","0.38784316182136536","0.38784316182136536","0.38784316182136536"
"14","2293.5","2293","2294","0.4727911949157715","0.4727911949157715","0.4727911949157715","0.37462031841278076","0.37462031841278076","0.37462031841278076"
"15","2446.5","2446","2447","0.523979127407074","0.523979127407074","0.523979127407074","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"16","2599.5","2599","2600","0.4474872052669525","0.4474872052669525","0.4474872052669525","0.4256936311721802","0.4256936311721802","0.4256936311721802"
"17","2752.5","2752","2753","0.4397549331188202","0.4397549331188202","0.4397549331188202","0.40887850522994995","0.40887850522994995","0.40887850522994995"
"18","2905.5","2905","2906","0.476818710565567","0.476818710565567","0.476818710565567","0.40887850522994995","0.40887850522994995","0.40887850522994995"
"19","3058.5","3058","3059","0.43531984090805054","0.43531984090805054","0.43531984090805054","0.6720794439315796","0.6720794439315796","0.6720794439315796"
"20","3211.5","3211","3212","0.45525503158569336","0.45525503158569336","0.45525503158569336","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"21","3364.5","3364","3365","0.4173140525817871","0.4173140525817871","0.4173140525817871","0.39985397458076477","0.39985397458076477","0.39985397458076477"
