"epoch","ENetB0_Base - _step","ENetB0_Base - _step__MIN","ENetB0_Base - _step__MAX","ENetB0_Base - train_loss_epoch","ENetB0_Base - train_loss_epoch__MIN","ENetB0_Base - train_loss_epoch__MAX","ENetB0_Base - val_loss_epoch","ENetB0_Base - val_loss_epoch__MIN","ENetB0_Base - val_loss_epoch__MAX"
"0","302.5","302","303","2.3787002563476562","2.3787002563476562","2.3787002563476562","0.02785484865307808","0.02785484865307808","0.02785484865307808"
"1","606.5","606","607","0.08979450911283493","0.08979450911283493","0.08979450911283493","0.09737149626016617","0.09737149626016617","0.09737149626016617"
"2","910.5","910","911","0.08072278648614883","0.08072278648614883","0.08072278648614883","0.04285923019051552","0.04285923019051552","0.04285923019051552"
"3","1214.5","1214","1215","0.0773535966873169","0.0773535966873169","0.0773535966873169","0.010112441144883633","0.010112441144883633","0.010112441144883633"
"4","1518.5","1518","1519","0.07543056458234787","0.07543056458234787","0.07543056458234787","0.11950204521417618","0.11950204521417618","0.11950204521417618"
"5","1822.5","1822","1823","0.0726960077881813","0.0726960077881813","0.0726960077881813","0.01733352802693844","0.01733352802693844","0.01733352802693844"
"6","2126.5","2126","2127","0.07265132665634155","0.07265132665634155","0.07265132665634155","0.02777453325688839","0.02777453325688839","0.02777453325688839"
"7","2430.5","2430","2431","0.060225002467632294","0.060225002467632294","0.060225002467632294","0.03146174177527428","0.03146174177527428","0.03146174177527428"
"8","2734.5","2734","2735","0.05239882320165634","0.05239882320165634","0.05239882320165634","0.04144275560975075","0.04144275560975075","0.04144275560975075"
"9","3038.5","3038","3039","0.055040374398231506","0.055040374398231506","0.055040374398231506","0.016479264944791794","0.016479264944791794","0.016479264944791794"
"10","3342.5","3342","3343","0.04666801542043686","0.04666801542043686","0.04666801542043686","0.026438375934958458","0.026438375934958458","0.026438375934958458"
"11","3646.5","3646","3647","0.0614149309694767","0.0614149309694767","0.0614149309694767","0.05102219805121422","0.05102219805121422","0.05102219805121422"
"12","3950.5","3950","3951","0.04991592839360237","0.04991592839360237","0.04991592839360237","0.07250291854143143","0.07250291854143143","0.07250291854143143"
