"epoch","MLP_Dend_Base - _step","MLP_Dend_Base - _step__MIN","MLP_Dend_Base - _step__MAX","MLP_Dend_Base - train_loss_epoch","MLP_Dend_Base - train_loss_epoch__MIN","MLP_Dend_Base - train_loss_epoch__MAX","MLP_Dend_Base - val_loss_epoch","MLP_Dend_Base - val_loss_epoch__MIN","MLP_Dend_Base - val_loss_epoch__MAX"
"0","302.5","302","303","25.154075622558594","25.154075622558594","25.154075622558594","0.4271466135978699","0.4271466135978699","0.4271466135978699"
"1","606.5","606","607","1.1855546236038208","1.1855546236038208","1.1855546236038208","0.24780957400798798","0.24780957400798798","0.24780957400798798"
"2","910.5","910","911","0.8742954134941101","0.8742954134941101","0.8742954134941101","0.4660922884941101","0.4660922884941101","0.4660922884941101"
"3","1214.5","1214","1215","0.6618356108665466","0.6618356108665466","0.6618356108665466","0.2971378564834595","0.2971378564834595","0.2971378564834595"
"4","1518.5","1518","1519","0.6079803705215454","0.6079803705215454","0.6079803705215454","0.09205607324838638","0.09205607324838638","0.09205607324838638"
"5","1822.5","1822","1823","0.5660918951034546","0.5660918951034546","0.5660918951034546","0.18092143535614014","0.18092143535614014","0.18092143535614014"
"6","2126.5","2126","2127","0.5101153254508972","0.5101153254508972","0.5101153254508972","0.13104556500911713","0.13104556500911713","0.13104556500911713"
"7","2430.5","2430","2431","0.38695308566093445","0.38695308566093445","0.38695308566093445","0.1999634951353073","0.1999634951353073","0.1999634951353073"
"8","2734.5","2734","2735","0.3813166618347168","0.3813166618347168","0.3813166618347168","0.07731454074382782","0.07731454074382782","0.07731454074382782"
"9","3038.5","3038","3039","0.4033832252025604","0.4033832252025604","0.4033832252025604","0.059177860617637634","0.059177860617637634","0.059177860617637634"
"10","3342.5","3342","3343","0.32354217767715454","0.32354217767715454","0.32354217767715454","0.059798482805490494","0.059798482805490494","0.059798482805490494"
"11","3646.5","3646","3647","0.283481240272522","0.283481240272522","0.283481240272522","0.14291763305664062","0.14291763305664062","0.14291763305664062"
"12","3950.5","3950","3951","0.27882909774780273","0.27882909774780273","0.27882909774780273","0.03944947570562363","0.03944947570562363","0.03944947570562363"
"13","4254.5","4254","4255","0.23018516600131989","0.23018516600131989","0.23018516600131989","0.09163989126682281","0.09163989126682281","0.09163989126682281"
"14","4558.5","4558","4559","0.22855938971042633","0.22855938971042633","0.22855938971042633","0.10112441331148148","0.10112441331148148","0.10112441331148148"
"15","4862.5","4862","4863","0.22047607600688934","0.22047607600688934","0.22047607600688934","0.08603242039680481","0.08603242039680481","0.08603242039680481"
"16","5166.5","5166","5167","0.20951049029827118","0.20951049029827118","0.20951049029827118","0.04003358632326126","0.04003358632326126","0.04003358632326126"
"17","5470.5","5470","5471","0.15907664597034454","0.15907664597034454","0.15907664597034454","0.03487149626016617","0.03487149626016617","0.03487149626016617"
"18","5774.5","5774","5775","0.1642138659954071","0.1642138659954071","0.1642138659954071","0.05548335239291191","0.05548335239291191","0.05548335239291191"
"19","6078.5","6078","6079","0.14894995093345642","0.14894995093345642","0.14894995093345642","0.0878431648015976","0.0878431648015976","0.0878431648015976"
"20","6382.5","6382","6383","0.1609850972890854","0.1609850972890854","0.1609850972890854","0.029117990285158157","0.029117990285158157","0.029117990285158157"
