"epoch","MLP_full_Base - _step","MLP_full_Base - _step__MIN","MLP_full_Base - _step__MAX","MLP_full_Base - train_loss_epoch","MLP_full_Base - train_loss_epoch__MIN","MLP_full_Base - train_loss_epoch__MAX","MLP_full_Base - val_loss_epoch","MLP_full_Base - val_loss_epoch__MIN","MLP_full_Base - val_loss_epoch__MAX"
"0","302.5","302","303","27.24407196044922","27.24407196044922","27.24407196044922","0.60286945104599","0.60286945104599","0.60286945104599"
"1","606.5","606","607","1.3994568586349487","1.3994568586349487","1.3994568586349487","0.18536068499088287","0.18536068499088287","0.18536068499088287"
"2","910.5","910","911","0.9462393522262573","0.9462393522262573","0.9462393522262573","0.3471086323261261","0.3471086323261261","0.3471086323261261"
"3","1214.5","1214","1215","0.8340798616409302","0.8340798616409302","0.8340798616409302","0.13187061250209808","0.13187061250209808","0.13187061250209808"
"4","1518.5","1518","1519","0.7469825744628906","0.7469825744628906","0.7469825744628906","0.2819144129753113","0.2819144129753113","0.2819144129753113"
"5","1822.5","1822","1823","0.694549560546875","0.694549560546875","0.694549560546875","0.08265186846256256","0.08265186846256256","0.08265186846256256"
"6","2126.5","2126","2127","0.6615201234817505","0.6615201234817505","0.6615201234817505","0.32660630345344543","0.32660630345344543","0.32660630345344543"
"7","2430.5","2430","2431","0.5363708138465881","0.5363708138465881","0.5363708138465881","0.16640624403953552","0.16640624403953552","0.16640624403953552"
"8","2734.5","2734","2735","0.4714357852935791","0.4714357852935791","0.4714357852935791","0.10062061995267868","0.10062061995267868","0.10062061995267868"
"9","3038.5","3038","3039","0.4044837951660156","0.4044837951660156","0.4044837951660156","0.13103826344013214","0.13103826344013214","0.13103826344013214"
"10","3342.5","3342","3343","0.35323479771614075","0.35323479771614075","0.35323479771614075","0.06905665993690491","0.06905665993690491","0.06905665993690491"
"11","3646.5","3646","3647","0.3401729166507721","0.3401729166507721","0.3401729166507721","0.10105140507221222","0.10105140507221222","0.10105140507221222"
"12","3950.5","3950","3951","0.30660781264305115","0.30660781264305115","0.30660781264305115","0.040281835943460464","0.040281835943460464","0.040281835943460464"
"13","4254.5","4254","4255","0.28584763407707214","0.28584763407707214","0.28584763407707214","0.1656615138053894","0.1656615138053894","0.1656615138053894"
"14","4558.5","4558","4559","0.25009119510650635","0.25009119510650635","0.25009119510650635","0.05334404110908508","0.05334404110908508","0.05334404110908508"
"15","4862.5","4862","4863","0.24414518475532532","0.24414518475532532","0.24414518475532532","0.051328856498003006","0.051328856498003006","0.051328856498003006"
"16","5166.5","5166","5167","0.21027004718780518","0.21027004718780518","0.21027004718780518","0.02581045590341091","0.02581045590341091","0.02581045590341091"
"17","5470.5","5470","5471","0.20165787637233734","0.20165787637233734","0.20165787637233734","0.05362879857420921","0.05362879857420921","0.05362879857420921"
"18","5774.5","5774","5775","0.18378250300884247","0.18378250300884247","0.18378250300884247","0.033776283264160156","0.033776283264160156","0.033776283264160156"
"19","6078.5","6078","6079","0.158473938703537","0.158473938703537","0.158473938703537","0.040982767939567566","0.040982767939567566","0.040982767939567566"
"20","6382.5","6382","6383","0.1334133893251419","0.1334133893251419","0.1334133893251419","0.022408002987504005","0.022408002987504005","0.022408002987504005"
"21","6686.5","6686","6687","0.12444470077753067","0.12444470077753067","0.12444470077753067","0.028519276529550552","0.028519276529550552","0.028519276529550552"
"22","6990.5","6990","6991","0.1099330335855484","0.1099330335855484","0.1099330335855484","0.04928446188569069","0.04928446188569069","0.04928446188569069"
"23","7294.5","7294","7295","0.09470923990011215","0.09470923990011215","0.09470923990011215","0.03193633258342743","0.03193633258342743","0.03193633258342743"
"24","7598.5","7598","7599","0.09189534932374954","0.09189534932374954","0.09189534932374954","0.07400701195001602","0.07400701195001602","0.07400701195001602"
"25","7902.5","7902","7903","0.07560654729604721","0.07560654729604721","0.07560654729604721","0.026000292971730232","0.026000292971730232","0.026000292971730232"
"26","8206.5","8206","8207","0.06926754862070084","0.06926754862070084","0.06926754862070084","0.017895735800266266","0.017895735800266266","0.017895735800266266"
"27","8510.5","8510","8511","0.06934414058923721","0.06934414058923721","0.06934414058923721","0.02134929969906807","0.02134929969906807","0.02134929969906807"
"28","8814.5","8814","8815","0.05915908142924309","0.05915908142924309","0.05915908142924309","0.021108353510499","0.021108353510499","0.021108353510499"
"29","9118.5","9118","9119","0.05974173545837402","0.05974173545837402","0.05974173545837402","0.01753796637058258","0.01753796637058258","0.01753796637058258"
"30","9422.5","9422","9423","0.048860952258110046","0.048860952258110046","0.048860952258110046","0.03549211472272873","0.03549211472272873","0.03549211472272873"
"31","9726.5","9726","9727","0.045863788574934006","0.045863788574934006","0.045863788574934006","0.013726635836064816","0.013726635836064816","0.013726635836064816"
"32","10030.5","10030","10031","0.04595041275024414","0.04595041275024414","0.04595041275024414","0.03228680044412613","0.03228680044412613","0.03228680044412613"
"33","10334.5","10334","10335","0.0388299860060215","0.0388299860060215","0.0388299860060215","0.020268691703677177","0.020268691703677177","0.020268691703677177"
