"epoch","MLP_o1_Base - _step","MLP_o1_Base - _step__MIN","MLP_o1_Base - _step__MAX","MLP_o1_Base - train_loss_epoch","MLP_o1_Base - train_loss_epoch__MIN","MLP_o1_Base - train_loss_epoch__MAX","MLP_o1_Base - val_loss_epoch","MLP_o1_Base - val_loss_epoch__MIN","MLP_o1_Base - val_loss_epoch__MAX"
"0","302.5","302","303","24.01991081237793","24.01991081237793","24.01991081237793","0.3648875653743744","0.3648875653743744","0.3648875653743744"
"1","606.5","606","607","1.0471574068069458","1.0471574068069458","1.0471574068069458","0.20922167599201202","0.20922167599201202","0.20922167599201202"
"2","910.5","910","911","0.8051208257675171","0.8051208257675171","0.8051208257675171","0.3421509861946106","0.3421509861946106","0.3421509861946106"
"3","1214.5","1214","1215","0.6909182071685791","0.6909182071685791","0.6909182071685791","0.06128796562552452","0.06128796562552452","0.06128796562552452"
"4","1518.5","1518","1519","0.6233580112457275","0.6233580112457275","0.6233580112457275","0.12285339087247849","0.12285339087247849","0.12285339087247849"
"5","1822.5","1822","1823","0.5416824221611023","0.5416824221611023","0.5416824221611023","0.20865945518016815","0.20865945518016815","0.20865945518016815"
"6","2126.5","2126","2127","0.48835328221321106","0.48835328221321106","0.48835328221321106","0.10976197570562363","0.10976197570562363","0.10976197570562363"
"7","2430.5","2430","2431","0.4509676396846771","0.4509676396846771","0.4509676396846771","0.15482622385025024","0.15482622385025024","0.15482622385025024"
"8","2734.5","2734","2735","0.4212636351585388","0.4212636351585388","0.4212636351585388","0.07014457136392593","0.07014457136392593","0.07014457136392593"
"9","3038.5","3038","3039","0.40185773372650146","0.40185773372650146","0.40185773372650146","0.13607622683048248","0.13607622683048248","0.13607622683048248"
"10","3342.5","3342","3343","0.35467728972435","0.35467728972435","0.35467728972435","0.11739923804998398","0.11739923804998398","0.11739923804998398"
"11","3646.5","3646","3647","0.3337447941303253","0.3337447941303253","0.3337447941303253","0.0706118568778038","0.0706118568778038","0.0706118568778038"
"12","3950.5","3950","3951","0.2712509334087372","0.2712509334087372","0.2712509334087372","0.041077688336372375","0.041077688336372375","0.041077688336372375"
"13","4254.5","4254","4255","0.2802579402923584","0.2802579402923584","0.2802579402923584","0.05446115508675575","0.05446115508675575","0.05446115508675575"
"14","4558.5","4558","4559","0.24888849258422852","0.24888849258422852","0.24888849258422852","0.08069509267807007","0.08069509267807007","0.08069509267807007"
"15","4862.5","4862","4863","0.2412957400083542","0.2412957400083542","0.2412957400083542","0.09250876307487488","0.09250876307487488","0.09250876307487488"
"16","5166.5","5166","5167","0.1975674331188202","0.1975674331188202","0.1975674331188202","0.06798335164785385","0.06798335164785385","0.06798335164785385"
"17","5470.5","5470","5471","0.20693185925483704","0.20693185925483704","0.20693185925483704","0.03241822496056557","0.03241822496056557","0.03241822496056557"
"18","5774.5","5774","5775","0.18367671966552734","0.18367671966552734","0.18367671966552734","0.05237295478582382","0.05237295478582382","0.05237295478582382"
"19","6078.5","6078","6079","0.16636303067207336","0.16636303067207336","0.16636303067207336","0.05178884416818619","0.05178884416818619","0.05178884416818619"
"20","6382.5","6382","6383","0.14102163910865784","0.14102163910865784","0.14102163910865784","0.024941589683294296","0.024941589683294296","0.024941589683294296"
