"Relative Time (Process)","ConvNext_Large_Base - system/gpu.0.powerWatts","ConvNext_Large_Base - system/gpu.0.powerWatts__MIN","ConvNext_Large_Base - system/gpu.0.powerWatts__MAX"
"11.046265681","126.336","126.336","126.336"
"21.046957475","130.585","130.585","130.585"
"31.046341192","579.091","579.091","579.091"
"41.056470427","592.638","592.638","592.638"
"51.046587104","590.626","590.626","590.626"
"61.046155365","598.541","598.541","598.541"
"71.046258162","597.624","597.624","597.624"
"81.046477279","613.776","613.776","613.776"
"91.046633835","602.32","602.32","602.32"
"101.046865688","611.192","611.192","611.192"
"111.046464255","617.016","617.016","617.016"
"121.046457321","613.976","613.976","613.976"
"131.045998096","617.104","617.104","617.104"
"141.046208253","652.585","652.585","652.585"
"151.046209287","141.257","141.257","141.257"
"161.046556373","136.913","136.913","136.913"
"171.046885283","596.738","596.738","596.738"
"181.046751243","606.1","606.1","606.1"
"191.046883192","612.782","612.782","612.782"
"201.046901411","613.564","613.564","613.564"
"211.047001134","611.641","611.641","611.641"
"221.046733495","615.132","615.132","615.132"
"231.046325854","623.594","623.594","623.594"
"241.046110853","624.905","624.905","624.905"
"251.046049552","622.644","622.644","622.644"
"261.046753057","620.274","620.274","620.274"
"271.046818797","627.473","627.473","627.473"
"281.047611233","439.83","439.83","439.83"
"291.046538657","145.885","145.885","145.885"
"301.056167886","140.388","140.388","140.388"
"311.046877305","137.995","137.995","137.995"
"321.046388478","618.446","618.446","618.446"
"331.046326601","612.749","612.749","612.749"
"341.046767064","617.654","617.654","617.654"
"351.046953956","625.809","625.809","625.809"
"361.046641452","627.281","627.281","627.281"
"371.053773441","630.776","630.776","630.776"
"381.046213949","622.564","622.564","622.564"
"391.045807364","622.85","622.85","622.85"
"401.045948465","625.789","625.789","625.789"
"411.046576833","625.542","625.542","625.542"
"421.046003334","625.627","625.627","625.627"
"431.046780954","149.704","149.704","149.704"
"441.046265954","142.84","142.84","142.84"
"451.046912851","140.591","140.591","140.591"
"461.046963391","616","616","616"
"471.112828083","612.288","612.288","612.288"
"481.113488421","618.006","618.006","618.006"
"491.046115766","622.423","622.423","622.423"
"501.046918729","617.268","617.268","617.268"
"511.103665664","621.082","621.082","621.082"
"521.046233432","627.839","627.839","627.839"
"531.046319555","637.912","637.912","637.912"
"541.046602577","643.975","643.975","643.975"
"551.106953517","636.852","636.852","636.852"
"561.092177342","636.491","636.491","636.491"
"571.04687282","149.905","149.905","149.905"
"581.045987318","143.049","143.049","143.049"
"591.046614983","139.977","139.977","139.977"
"601.062882331","616.697","616.697","616.697"
"611.04598111","617.59","617.59","617.59"
"621.046766313","610.97","610.97","610.97"
"631.112881377","618.79","618.79","618.79"
"641.07215399","617.491","617.491","617.491"
"651.046843211","631.944","631.944","631.944"
"661.098282122","627.639","627.639","627.639"
"671.072977038","628.794","628.794","628.794"
"681.046335909","635.591","635.591","635.591"
"691.0486274","634.55","634.55","634.55"
"701.05701569","631.455","631.455","631.455"
"711.047054574","463.37","463.37","463.37"
"721.04667218","143.71","143.71","143.71"
